Region/Country/Area,,Year,Series,Value
50,Bangladesh,2005,Current health expenditure (% of GDP),2.1
50,Bangladesh,2010,Current health expenditure (% of GDP),2.3
50,Bangladesh,2015,Current health expenditure (% of GDP),2.3
50,Bangladesh,2019,Current health expenditure (% of GDP),2.3
50,Bangladesh,2020,Current health expenditure (% of GDP),2.3
50,Bangladesh,2021,Current health expenditure (% of GDP),2.4
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.4
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4
50,Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.4
50,Bangladesh,2019,Domestic general government health expenditure (% of total government expenditure),3.3
50,Bangladesh,2020,Domestic general government health expenditure (% of total government expenditure),3.1
50,Bangladesh,2021,Domestic general government health expenditure (% of total government expenditure),3.1
52,Barbados,2005,Current health expenditure (% of GDP),6.8
52,Barbados,2010,Current health expenditure (% of GDP),6.8
52,Barbados,2015,Current health expenditure (% of GDP),6.8
52,Barbados,2019,Current health expenditure (% of GDP),6.2
52,Barbados,2020,Current health expenditure (% of GDP),7.4
52,Barbados,2021,Current health expenditure (% of GDP),8.1
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),12.3
52,Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.7
52,Barbados,2015,Domestic general government health expenditure (% of total government expenditure),9.1
52,Barbados,2019,Domestic general government health expenditure (% of total government expenditure),10.6
52,Barbados,2020,Domestic general government health expenditure (% of total government expenditure),11
52,Barbados,2021,Domestic general government health expenditure (% of total government expenditure),12.4
112,Belarus,2005,Current health expenditure (% of GDP),6.1
112,Belarus,2010,Current health expenditure (% of GDP),5.7
112,Belarus,2015,Current health expenditure (% of GDP),6.1
112,Belarus,2019,Current health expenditure (% of GDP),5.9
112,Belarus,2020,Current health expenditure (% of GDP),6.4
112,Belarus,2021,Current health expenditure (% of GDP),6.6
112,Belarus,2005,Domestic general government health expenditure (% of total government expenditure),10.1
112,Belarus,2010,Domestic general government health expenditure (% of total government expenditure),8.7
112,Belarus,2015,Domestic general government health expenditure (% of total government expenditure),8.8
112,Belarus,2019,Domestic general government health expenditure (% of total government expenditure),11
112,Belarus,2020,Domestic general government health expenditure (% of total government expenditure),11.9
112,Belarus,2021,Domestic general government health expenditure (% of total government expenditure),13.1
56,Belgium,2005,Current health expenditure (% of GDP),9.2
56,Belgium,2010,Current health expenditure (% of GDP),10.2
56,Belgium,2015,Current health expenditure (% of GDP),10.8
56,Belgium,2019,Current health expenditure (% of GDP),10.8
56,Belgium,2020,Current health expenditure (% of GDP),11.2
56,Belgium,2021,Current health expenditure (% of GDP),11
56,Belgium,2005,Domestic general government health expenditure (% of total government expenditure),13.3
56,Belgium,2010,Domestic general government health expenditure (% of total government expenditure),14.4
56,Belgium,2015,Domestic general government health expenditure (% of total government expenditure),15.4
56,Belgium,2019,Domestic general government health expenditure (% of total government expenditure),15.6
56,Belgium,2020,Domestic general government health expenditure (% of total government expenditure),14.8
56,Belgium,2021,Domestic general government health expenditure (% of total government expenditure),15.5
84,Belize,2005,Current health expenditure (% of GDP),3.5
84,Belize,2010,Current health expenditure (% of GDP),4.5
84,Belize,2015,Current health expenditure (% of GDP),4.7
84,Belize,2019,Current health expenditure (% of GDP),4.8
84,Belize,2020,Current health expenditure (% of GDP),5.3
84,Belize,2021,Current health expenditure (% of GDP),5
84,Belize,2005,Domestic general government health expenditure (% of total government expenditure),8.3
84,Belize,2010,Domestic general government health expenditure (% of total government expenditure),12.8
84,Belize,2015,Domestic general government health expenditure (% of total government expenditure),11.3
84,Belize,2019,Domestic general government health expenditure (% of total government expenditure),12.1
84,Belize,2020,Domestic general government health expenditure (% of total government expenditure),11.5
84,Belize,2021,Domestic general government health expenditure (% of total government expenditure),13.7
204,Benin,2005,Current health expenditure (% of GDP),3.2
204,Benin,2010,Current health expenditure (% of GDP),3
204,Benin,2015,Current health expenditure (% of GDP),2.7
204,Benin,2019,Current health expenditure (% of GDP),2.5
204,Benin,2020,Current health expenditure (% of GDP),2.5
204,Benin,2021,Current health expenditure (% of GDP),2.6
204,Benin,2005,Domestic general government health expenditure (% of total government expenditure),7.6
204,Benin,2010,Domestic general government health expenditure (% of total government expenditure),5.3
204,Benin,2015,Domestic general government health expenditure (% of total government expenditure),3.3
204,Benin,2019,Domestic general government health expenditure (% of total government expenditure),2.1
204,Benin,2020,Domestic general government health expenditure (% of total government expenditure),1.4
204,Benin,2021,Domestic general government health expenditure (% of total government expenditure),1.6
64,Bhutan,2005,Current health expenditure (% of GDP),4.1
64,Bhutan,2010,Current health expenditure (% of GDP),3.6
64,Bhutan,2015,Current health expenditure (% of GDP),3.8
64,Bhutan,2019,Current health expenditure (% of GDP),3.6
64,Bhutan,2020,Current health expenditure (% of GDP),4.4
64,Bhutan,2021,Current health expenditure (% of GDP),3.8
64,Bhutan,2005,Domestic general government health expenditure (% of total government expenditure),6.7
64,Bhutan,2010,Domestic general government health expenditure (% of total government expenditure),5.6
64,Bhutan,2015,Domestic general government health expenditure (% of total government expenditure),9.4
64,Bhutan,2019,Domestic general government health expenditure (% of total government expenditure),10.2
64,Bhutan,2020,Domestic general government health expenditure (% of total government expenditure),10.3
64,Bhutan,2021,Domestic general government health expenditure (% of total government expenditure),5.6
68,Bolivia (Plurin. State of),2005,Current health expenditure (% of GDP),5.1
68,Bolivia (Plurin. State of),2010,Current health expenditure (% of GDP),5.2
68,Bolivia (Plurin. State of),2015,Current health expenditure (% of GDP),6.6
68,Bolivia (Plurin. State of),2019,Current health expenditure (% of GDP),6.9
68,Bolivia (Plurin. State of),2020,Current health expenditure (% of GDP),8
68,Bolivia (Plurin. State of),2021,Current health expenditure (% of GDP),8.2
68,Bolivia (Plurin. State of),2005,Domestic general government health expenditure (% of total government expenditure),8.3
68,Bolivia (Plurin. State of),2010,Domestic general government health expenditure (% of total government expenditure),9.7
68,Bolivia (Plurin. State of),2015,Domestic general government health expenditure (% of total government expenditure),9.7
68,Bolivia (Plurin. State of),2019,Domestic general government health expenditure (% of total government expenditure),13.6
68,Bolivia (Plurin. State of),2020,Domestic general government health expenditure (% of total government expenditure),15.3
68,Bolivia (Plurin. State of),2021,Domestic general government health expenditure (% of total government expenditure),17.1
70,Bosnia and Herzegovina,2005,Current health expenditure (% of GDP),9.1
70,Bosnia and Herzegovina,2010,Current health expenditure (% of GDP),9
70,Bosnia and Herzegovina,2015,Current health expenditure (% of GDP),9.2
70,Bosnia and Herzegovina,2019,Current health expenditure (% of GDP),8.9
70,Bosnia and Herzegovina,2020,Current health expenditure (% of GDP),9.7
70,Bosnia and Herzegovina,2021,Current health expenditure (% of GDP),9.6
70,Bosnia and Herzegovina,2005,Domestic general government health expenditure (% of total government expenditure),10.8
70,Bosnia and Herzegovina,2010,Domestic general government health expenditure (% of total government expenditure),12.6
70,Bosnia and Herzegovina,2015,Domestic general government health expenditure (% of total government expenditure),15
70,Bosnia and Herzegovina,2019,Domestic general government health expenditure (% of total government expenditure),15.4
70,Bosnia and Herzegovina,2020,Domestic general government health expenditure (% of total government expenditure),14.9
70,Bosnia and Herzegovina,2021,Domestic general government health expenditure (% of total government expenditure),16.4
72,Botswana,2005,Current health expenditure (% of GDP),5.3
72,Botswana,2010,Current health expenditure (% of GDP),6.3
72,Botswana,2015,Current health expenditure (% of GDP),6.1
72,Botswana,2019,Current health expenditure (% of GDP),6.1
72,Botswana,2020,Current health expenditure (% of GDP),6.1
72,Botswana,2021,Current health expenditure (% of GDP),6.3
72,Botswana,2005,Domestic general government health expenditure (% of total government expenditure),8.2
72,Botswana,2010,Domestic general government health expenditure (% of total government expenditure),8.1
72,Botswana,2015,Domestic general government health expenditure (% of total government expenditure),10.4
72,Botswana,2019,Domestic general government health expenditure (% of total government expenditure),12
72,Botswana,2020,Domestic general government health expenditure (% of total government expenditure),11.7
72,Botswana,2021,Domestic general government health expenditure (% of total government expenditure),14.6
76,Brazil,2005,Current health expenditure (% of GDP),8
76,Brazil,2010,Current health expenditure (% of GDP),7.9
76,Brazil,2015,Current health expenditure (% of GDP),8.9
76,Brazil,2019,Current health expenditure (% of GDP),9.6
76,Brazil,2020,Current health expenditure (% of GDP),10.2
76,Brazil,2021,Current health expenditure (% of GDP),9.9
76,Brazil,2005,Domestic general government health expenditure (% of total government expenditure),8.4
76,Brazil,2010,Domestic general government health expenditure (% of total government expenditure),9
76,Brazil,2015,Domestic general government health expenditure (% of total government expenditure),8.9
76,Brazil,2019,Domestic general government health expenditure (% of total government expenditure),9.2
76,Brazil,2020,Domestic general government health expenditure (% of total government expenditure),9.6
76,Brazil,2021,Domestic general government health expenditure (% of total government expenditure),10.9
96,Brunei Darussalam,2005,Current health expenditure (% of GDP),2.2
96,Brunei Darussalam,2010,Current health expenditure (% of GDP),2.3
96,Brunei Darussalam,2015,Current health expenditure (% of GDP),2.4
96,Brunei Darussalam,2019,Current health expenditure (% of GDP),2.2
96,Brunei Darussalam,2020,Current health expenditure (% of GDP),2.4
96,Brunei Darussalam,2021,Current health expenditure (% of GDP),2.2
96,Brunei Darussalam,2005,Domestic general government health expenditure (% of total government expenditure),6.4
96,Brunei Darussalam,2010,Domestic general government health expenditure (% of total government expenditure),5.8
96,Brunei Darussalam,2015,Domestic general government health expenditure (% of total government expenditure),5.9
96,Brunei Darussalam,2019,Domestic general government health expenditure (% of total government expenditure),6.4
96,Brunei Darussalam,2020,Domestic general government health expenditure (% of total government expenditure),6.8
96,Brunei Darussalam,2021,Domestic general government health expenditure (% of total government expenditure),7.1
100,Bulgaria,2005,Current health expenditure (% of GDP),6.9
100,Bulgaria,2010,Current health expenditure (% of GDP),7.1
100,Bulgaria,2015,Current health expenditure (% of GDP),7.4
100,Bulgaria,2019,Current health expenditure (% of GDP),7.1
100,Bulgaria,2020,Current health expenditure (% of GDP),8.5
100,Bulgaria,2021,Current health expenditure (% of GDP),8.6
100,Bulgaria,2005,Domestic general government health expenditure (% of total government expenditure),11.2
100,Bulgaria,2010,Domestic general government health expenditure (% of total government expenditure),10.9
100,Bulgaria,2015,Domestic general government health expenditure (% of total government expenditure),10.2
100,Bulgaria,2019,Domestic general government health expenditure (% of total government expenditure),11.6
100,Bulgaria,2020,Domestic general government health expenditure (% of total government expenditure),12.2
100,Bulgaria,2021,Domestic general government health expenditure (% of total government expenditure),12.9
854,Burkina Faso,2005,Current health expenditure (% of GDP),4
854,Burkina Faso,2010,Current health expenditure (% of GDP),5.2
854,Burkina Faso,2015,Current health expenditure (% of GDP),5.1
854,Burkina Faso,2019,Current health expenditure (% of GDP),5.3
854,Burkina Faso,2020,Current health expenditure (% of GDP),6.5
854,Burkina Faso,2021,Current health expenditure (% of GDP),6.4
854,Burkina Faso,2005,Domestic general government health expenditure (% of total government expenditure),6
854,Burkina Faso,2010,Domestic general government health expenditure (% of total government expenditure),6
854,Burkina Faso,2015,Domestic general government health expenditure (% of total government expenditure),7.2
854,Burkina Faso,2019,Domestic general government health expenditure (% of total government expenditure),9.6
854,Burkina Faso,2020,Domestic general government health expenditure (% of total government expenditure),11.6
854,Burkina Faso,2021,Domestic general government health expenditure (% of total government expenditure),9.8
108,Burundi,2005,Current health expenditure (% of GDP),7.6
108,Burundi,2010,Current health expenditure (% of GDP),11.3
108,Burundi,2015,Current health expenditure (% of GDP),6.3
108,Burundi,2019,Current health expenditure (% of GDP),9.1
108,Burundi,2020,Current health expenditure (% of GDP),10.7
108,Burundi,2021,Current health expenditure (% of GDP),9.1
108,Burundi,2005,Domestic general government health expenditure (% of total government expenditure),6.2
108,Burundi,2010,Domestic general government health expenditure (% of total government expenditure),4.9
108,Burundi,2015,Domestic general government health expenditure (% of total government expenditure),10.4
108,Burundi,2019,Domestic general government health expenditure (% of total government expenditure),7.9
108,Burundi,2020,Domestic general government health expenditure (% of total government expenditure),7.3
108,Burundi,2021,Domestic general government health expenditure (% of total government expenditure),7.3
132,Cabo Verde,2005,Current health expenditure (% of GDP),4.3
132,Cabo Verde,2010,Current health expenditure (% of GDP),4.5
132,Cabo Verde,2015,Current health expenditure (% of GDP),4.8
132,Cabo Verde,2019,Current health expenditure (% of GDP),4.6
132,Cabo Verde,2020,Current health expenditure (% of GDP),6.1
132,Cabo Verde,2021,Current health expenditure (% of GDP),6.9
132,Cabo Verde,2005,Domestic general government health expenditure (% of total government expenditure),8.8
132,Cabo Verde,2010,Domestic general government health expenditure (% of total government expenditure),7.2
132,Cabo Verde,2015,Domestic general government health expenditure (% of total government expenditure),10.1
132,Cabo Verde,2019,Domestic general government health expenditure (% of total government expenditure),10.2
132,Cabo Verde,2020,Domestic general government health expenditure (% of total government expenditure),11.9
132,Cabo Verde,2021,Domestic general government health expenditure (% of total government expenditure),15.8
116,Cambodia,2005,Current health expenditure (% of GDP),6.8
116,Cambodia,2010,Current health expenditure (% of GDP),6.9
116,Cambodia,2015,Current health expenditure (% of GDP),6.2
116,Cambodia,2019,Current health expenditure (% of GDP),6.8
116,Cambodia,2020,Current health expenditure (% of GDP),7.1
116,Cambodia,2021,Current health expenditure (% of GDP),7.5
116,Cambodia,2005,Domestic general government health expenditure (% of total government expenditure),9.9
116,Cambodia,2010,Domestic general government health expenditure (% of total government expenditure),6.5
116,Cambodia,2015,Domestic general government health expenditure (% of total government expenditure),6.6
116,Cambodia,2019,Domestic general government health expenditure (% of total government expenditure),7
116,Cambodia,2020,Domestic general government health expenditure (% of total government expenditure),7
116,Cambodia,2021,Domestic general government health expenditure (% of total government expenditure),7
120,Cameroon,2005,Current health expenditure (% of GDP),3.8
120,Cameroon,2010,Current health expenditure (% of GDP),3.6
120,Cameroon,2015,Current health expenditure (% of GDP),3.6
120,Cameroon,2019,Current health expenditure (% of GDP),3.7
120,Cameroon,2020,Current health expenditure (% of GDP),3.8
120,Cameroon,2021,Current health expenditure (% of GDP),3.8
120,Cameroon,2005,Domestic general government health expenditure (% of total government expenditure),5.2
120,Cameroon,2010,Domestic general government health expenditure (% of total government expenditure),2.7
120,Cameroon,2015,Domestic general government health expenditure (% of total government expenditure),1.8
120,Cameroon,2019,Domestic general government health expenditure (% of total government expenditure),2.2
120,Cameroon,2020,Domestic general government health expenditure (% of total government expenditure),3.7
120,Cameroon,2021,Domestic general government health expenditure (% of total government expenditure),2.9
124,Canada,2005,Current health expenditure (% of GDP),9
124,Canada,2010,Current health expenditure (% of GDP),10.7
124,Canada,2015,Current health expenditure (% of GDP),10.7
124,Canada,2019,Current health expenditure (% of GDP),11
124,Canada,2020,Current health expenditure (% of GDP),13
124,Canada,2021,Current health expenditure (% of GDP),12.3
124,Canada,2005,Domestic general government health expenditure (% of total government expenditure),17.1
124,Canada,2010,Domestic general government health expenditure (% of total government expenditure),17.3
124,Canada,2015,Domestic general government health expenditure (% of total government expenditure),19
124,Canada,2019,Domestic general government health expenditure (% of total government expenditure),18.9
124,Canada,2020,Domestic general government health expenditure (% of total government expenditure),18.2
124,Canada,2021,Domestic general government health expenditure (% of total government expenditure),19.6
140,Central African Republic,2005,Current health expenditure (% of GDP),4.4
140,Central African Republic,2010,Current health expenditure (% of GDP),3.6
140,Central African Republic,2015,Current health expenditure (% of GDP),5
140,Central African Republic,2019,Current health expenditure (% of GDP),7.8
140,Central African Republic,2020,Current health expenditure (% of GDP),9
140,Central African Republic,2021,Current health expenditure (% of GDP),9.1
140,Central African Republic,2005,Domestic general government health expenditure (% of total government expenditure),6.4
140,Central African Republic,2010,Domestic general government health expenditure (% of total government expenditure),3.3
140,Central African Republic,2015,Domestic general government health expenditure (% of total government expenditure),3.3
140,Central African Republic,2019,Domestic general government health expenditure (% of total government expenditure),4.8
140,Central African Republic,2020,Domestic general government health expenditure (% of total government expenditure),4.9
140,Central African Republic,2021,Domestic general government health expenditure (% of total government expenditure),6.4
148,Chad,2005,Current health expenditure (% of GDP),4.8
148,Chad,2010,Current health expenditure (% of GDP),4.1
148,Chad,2015,Current health expenditure (% of GDP),4.5
148,Chad,2019,Current health expenditure (% of GDP),4.6
148,Chad,2020,Current health expenditure (% of GDP),5.5
148,Chad,2021,Current health expenditure (% of GDP),5.2
148,Chad,2005,Domestic general government health expenditure (% of total government expenditure),12.4
148,Chad,2010,Domestic general government health expenditure (% of total government expenditure),3.5
148,Chad,2015,Domestic general government health expenditure (% of total government expenditure),5.2
148,Chad,2019,Domestic general government health expenditure (% of total government expenditure),4.9
148,Chad,2020,Domestic general government health expenditure (% of total government expenditure),4.9
148,Chad,2021,Domestic general government health expenditure (% of total government expenditure),4.9
152,Chile,2005,Current health expenditure (% of GDP),6.6
152,Chile,2010,Current health expenditure (% of GDP),6.8
152,Chile,2015,Current health expenditure (% of GDP),8.4
152,Chile,2019,Current health expenditure (% of GDP),9.4
152,Chile,2020,Current health expenditure (% of GDP),9.7
152,Chile,2021,Current health expenditure (% of GDP),9.3
152,Chile,2005,Domestic general government health expenditure (% of total government expenditure),12.9
152,Chile,2010,Domestic general government health expenditure (% of total government expenditure),13.7
152,Chile,2015,Domestic general government health expenditure (% of total government expenditure),16
152,Chile,2019,Domestic general government health expenditure (% of total government expenditure),18
152,Chile,2020,Domestic general government health expenditure (% of total government expenditure),18.8
152,Chile,2021,Domestic general government health expenditure (% of total government expenditure),15.5
156,China,2005,Current health expenditure (% of GDP),4.2
156,China,2010,Current health expenditure (% of GDP),4.2
156,China,2015,Current health expenditure (% of GDP),4.9
156,China,2019,Current health expenditure (% of GDP),5.4
156,China,2020,Current health expenditure (% of GDP),5.6
156,China,2021,Current health expenditure (% of GDP),5.4
156,China,2005,Domestic general government health expenditure (% of total government expenditure),7.5
156,China,2010,Domestic general government health expenditure (% of total government expenditure),8.8
156,China,2015,Domestic general government health expenditure (% of total government expenditure),9.4
156,China,2019,Domestic general government health expenditure (% of total government expenditure),8.8
156,China,2020,Domestic general government health expenditure (% of total government expenditure),8.6
