Region/Country/Area,,Year,Series,Value
4,Afghanistan,2019,Total supply (petajoules),186
4,Afghanistan,2020,Total supply (petajoules),195
4,Afghanistan,2021,Total supply (petajoules),179
4,Afghanistan,1995,Supply per capita (gigajoules),2
4,Afghanistan,2000,Supply per capita (gigajoules),2
4,Afghanistan,2005,Supply per capita (gigajoules),2
4,Afghanistan,2010,Supply per capita (gigajoules),5
4,Afghanistan,2015,Supply per capita (gigajoules),5
4,Afghanistan,2019,Supply per capita (gigajoules),5
4,Afghanistan,2020,Supply per capita (gigajoules),5
4,Afghanistan,2021,Supply per capita (gigajoules),4
8,Albania,1995,Primary energy production (petajoules),43
8,Albania,2000,Primary energy production (petajoules),34
8,Albania,2005,Primary energy production (petajoules),48
8,Albania,2010,Primary energy production (petajoules),69
8,Albania,2015,Primary energy production (petajoules),87
8,Albania,2019,Primary energy production (petajoules),71
8,Albania,2020,Primary energy production (petajoules),63
8,Albania,2021,Primary energy production (petajoules),76
8,Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
8,Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31
8,Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43
8,Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22
8,Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10
8,Albania,2019,Net imports [Imports - Exports - Bunkers] (petajoules),29
8,Albania,2020,Net imports [Imports - Exports - Bunkers] (petajoules),28
8,Albania,2021,Net imports [Imports - Exports - Bunkers] (petajoules),21
8,Albania,1995,Changes in stocks (petajoules),0
8,Albania,2005,Changes in stocks (petajoules),0
8,Albania,2010,Changes in stocks (petajoules),0
8,Albania,2015,Changes in stocks (petajoules),6
8,Albania,2019,Changes in stocks (petajoules),5
8,Albania,2020,Changes in stocks (petajoules),5
8,Albania,2021,Changes in stocks (petajoules),2
8,Albania,1995,Total supply (petajoules),47
8,Albania,2000,Total supply (petajoules),65
8,Albania,2005,Total supply (petajoules),91
8,Albania,2010,Total supply (petajoules),91
8,Albania,2015,Total supply (petajoules),92
8,Albania,2019,Total supply (petajoules),96
8,Albania,2020,Total supply (petajoules),86
8,Albania,2021,Total supply (petajoules),95
8,Albania,1995,Supply per capita (gigajoules),14
8,Albania,2000,Supply per capita (gigajoules),20
8,Albania,2005,Supply per capita (gigajoules),30
8,Albania,2010,Supply per capita (gigajoules),31
8,Albania,2015,Supply per capita (gigajoules),32
8,Albania,2019,Supply per capita (gigajoules),34
8,Albania,2020,Supply per capita (gigajoules),30
8,Albania,2021,Supply per capita (gigajoules),33
12,Algeria,1995,Primary energy production (petajoules),"4,748"
12,Algeria,2000,Primary energy production (petajoules),"5,852"
12,Algeria,2005,Primary energy production (petajoules),"7,534"
12,Algeria,2010,Primary energy production (petajoules),"6,200"
12,Algeria,2015,Primary energy production (petajoules),"5,883"
12,Algeria,2019,Primary energy production (petajoules),"5,967"
12,Algeria,2020,Primary energy production (petajoules),"5,458"
12,Algeria,2021,Primary energy production (petajoules),"6,214"
12,Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,485"
12,Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,762"
12,Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,952"
12,Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,551"
12,Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,694"
12,Algeria,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,436"
12,Algeria,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,095"
12,Algeria,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,666"
12,Algeria,1995,Changes in stocks (petajoules),-8
12,Algeria,2000,Changes in stocks (petajoules),-14
12,Algeria,2005,Changes in stocks (petajoules),0
12,Algeria,2010,Changes in stocks (petajoules),9
12,Algeria,2015,Changes in stocks (petajoules),-36
12,Algeria,2019,Changes in stocks (petajoules),2
12,Algeria,2020,Changes in stocks (petajoules),4
12,Algeria,2021,Changes in stocks (petajoules),-6
12,Algeria,1995,Total supply (petajoules),"1,270"
12,Algeria,2000,Total supply (petajoules),"1,103"
12,Algeria,2005,Total supply (petajoules),"1,583"
12,Algeria,2010,Total supply (petajoules),"1,641"
12,Algeria,2015,Total supply (petajoules),"2,224"
12,Algeria,2019,Total supply (petajoules),"2,530"
12,Algeria,2020,Total supply (petajoules),"2,359"
12,Algeria,2021,Total supply (petajoules),"2,553"
12,Algeria,1995,Supply per capita (gigajoules),45
12,Algeria,2000,Supply per capita (gigajoules),36
12,Algeria,2005,Supply per capita (gigajoules),48
12,Algeria,2010,Supply per capita (gigajoules),46
12,Algeria,2015,Supply per capita (gigajoules),56
12,Algeria,2019,Supply per capita (gigajoules),59
12,Algeria,2020,Supply per capita (gigajoules),54
12,Algeria,2021,Supply per capita (gigajoules),58
16,American Samoa,2015,Primary energy production (petajoules),0
16,American Samoa,2019,Primary energy production (petajoules),0
16,American Samoa,2020,Primary energy production (petajoules),0
16,American Samoa,2021,Primary energy production (petajoules),0
16,American Samoa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
16,American Samoa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7
16,American Samoa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
16,American Samoa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6
16,American Samoa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),6
16,American Samoa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),6
16,American Samoa,2020,Net imports [Imports - Exports - Bunkers] (petajoules),5
16,American Samoa,2021,Net imports [Imports - Exports - Bunkers] (petajoules),5
16,American Samoa,1995,Total supply (petajoules),6
16,American Samoa,2000,Total supply (petajoules),6
16,American Samoa,2005,Total supply (petajoules),7
16,American Samoa,2010,Total supply (petajoules),7
16,American Samoa,2015,Total supply (petajoules),6
16,American Samoa,2019,Total supply (petajoules),6
16,American Samoa,2020,Total supply (petajoules),5
16,American Samoa,2021,Total supply (petajoules),5
16,American Samoa,1995,Supply per capita (gigajoules),121
16,American Samoa,2000,Supply per capita (gigajoules),111
16,American Samoa,2005,Supply per capita (gigajoules),119
16,American Samoa,2010,Supply per capita (gigajoules),125
16,American Samoa,2015,Supply per capita (gigajoules),110
16,American Samoa,2019,Supply per capita (gigajoules),118
16,American Samoa,2020,Supply per capita (gigajoules),116
16,American Samoa,2021,Supply per capita (gigajoules),119
20,Andorra,1995,Primary energy production (petajoules),0
20,Andorra,2000,Primary energy production (petajoules),0
20,Andorra,2005,Primary energy production (petajoules),0
20,Andorra,2010,Primary energy production (petajoules),1
20,Andorra,2015,Primary energy production (petajoules),0
20,Andorra,2019,Primary energy production (petajoules),1
20,Andorra,2020,Primary energy production (petajoules),1
20,Andorra,2021,Primary energy production (petajoules),1
20,Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
20,Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10
20,Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2019,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2020,Net imports [Imports - Exports - Bunkers] (petajoules),7
20,Andorra,2021,Net imports [Imports - Exports - Bunkers] (petajoules),7
20,Andorra,1995,Total supply (petajoules),7
20,Andorra,2000,Total supply (petajoules),9
20,Andorra,2005,Total supply (petajoules),10
20,Andorra,2010,Total supply (petajoules),10
20,Andorra,2015,Total supply (petajoules),9
20,Andorra,2019,Total supply (petajoules),9
20,Andorra,2020,Total supply (petajoules),7
20,Andorra,2021,Total supply (petajoules),8
20,Andorra,1995,Supply per capita (gigajoules),114
20,Andorra,2000,Supply per capita (gigajoules),135
20,Andorra,2005,Supply per capita (gigajoules),127
20,Andorra,2010,Supply per capita (gigajoules),134
20,Andorra,2015,Supply per capita (gigajoules),122
20,Andorra,2019,Supply per capita (gigajoules),121
20,Andorra,2020,Supply per capita (gigajoules),96
20,Andorra,2021,Supply per capita (gigajoules),101
24,Angola,1995,Primary energy production (petajoules),"1,508"
24,Angola,2000,Primary energy production (petajoules),"1,782"
24,Angola,2005,Primary energy production (petajoules),"2,889"
24,Angola,2010,Primary energy production (petajoules),"4,016"
24,Angola,2015,Primary energy production (petajoules),"4,051"
24,Angola,2019,Primary energy production (petajoules),"3,501"
24,Angola,2020,Primary energy production (petajoules),"3,315"
24,Angola,2021,Primary energy production (petajoules),"2,940"
24,Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,224"
24,Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,475"
24,Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,565"
