Region/Country/Area,,Year,Series,Value
15,Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.8
15,Northern Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",39.4
15,Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",47.7
15,Northern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",81.9
15,Northern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",73.6
15,Northern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",50.1
15,Northern Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.7
15,Northern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",50.7
15,Northern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",81.1
15,Northern Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",74.4
15,Northern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",59.7
15,Northern Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",33.9
15,Northern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",59.7
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.5
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",9.2
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",22.8
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.6
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.7
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.3
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",50.8
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",11.6
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",26.8
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",28.4
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",18
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",22
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",53
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",15.2
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",31.3
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",30.5
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.8
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",24.4
14,Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.6
14,Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",6.2
14,Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",16.1
14,Eastern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.2
14,Eastern Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.4
14,Eastern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",16.3
14,Eastern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",52.4
14,Eastern Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9
14,Eastern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",20.4
14,Eastern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.1
14,Eastern Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.7
14,Eastern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",18.9
14,Eastern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",53.5
14,Eastern Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",13.5
14,Eastern Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",25.5
14,Eastern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.8
14,Eastern Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.7
14,Eastern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",22.1
17,Middle Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",34.3
17,Middle Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",2.5
17,Middle Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",16.9
17,Middle Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.8
17,Middle Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.8
17,Middle Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.4
17,Middle Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",37.8
17,Middle Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",2.9
17,Middle Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",19.6
17,Middle Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.9
17,Middle Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",13.1
17,Middle Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",17.8
17,Middle Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",38.7
17,Middle Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",2.9
17,Middle Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",21.4
17,Middle Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.5
17,Middle Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",11.2
17,Middle Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",17
18,Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.2
18,Southern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.9
18,Southern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",58.8
18,Southern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",83.6
18,Southern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",60.9
18,Southern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",62.5
18,Southern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",80.1
18,Southern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.6
18,Southern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",67
11,Western Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",40.2
11,Western Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.6
11,Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",23.9
11,Western Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20
11,Western Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.9
11,Western Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.6
11,Western Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",40.8
11,Western Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",15.4
11,Western Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",26.7
11,Western Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",23
11,Western Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.2
11,Western Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",19.8
11,Western Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",41.8
11,Western Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",19.6
11,Western Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",30.4
11,Western Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.4
11,Western Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19
11,Western Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",23.1
21,Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.5
21,Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.6
21,Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",88
21,Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.5
21,Northern America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.9
21,Northern America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.4
21,Northern America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.5
21,Northern America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",95.8
21,Northern America,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.5
21,Northern America,2022,"Safely managed drinking water sources, total (Proportion of population with access)",97.4
21,Northern America,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.1
21,Northern America,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",95.7
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",81.6
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.1
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.8
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.9
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",37
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",82
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",48.8
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, total (Proportion of population with access)",75.3
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.5
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",42
419,Latin America & the Caribbean,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",80.2
419,Latin America & the Caribbean,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",53.1
419,Latin America & the Caribbean,2022,"Safely managed drinking water sources, total (Proportion of population with access)",75.2
419,Latin America & the Caribbean,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.7
419,Latin America & the Caribbean,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",48.5
29,Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",65.5
29,Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",57.3
29,Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",42
29,Caribbean,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",42.6
29,Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",42.1
29,Caribbean,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",63.5
29,Caribbean,2015,"Safely managed drinking water sources, total (Proportion of population with access)",57
29,Caribbean,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.6
29,Caribbean,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.5
29,Caribbean,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",42.1
29,Caribbean,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",60.9
29,Caribbean,2022,"Safely managed drinking water sources, total (Proportion of population with access)",56
29,Caribbean,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.3
29,Caribbean,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.9
29,Caribbean,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",41.2
13,Central America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.4
13,Central America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",46.3
13,Central America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",28.3
13,Central America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",33.7
13,Central America,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",48.7
13,Central America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",47.5
13,Central America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.5
13,Central America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",43.1
13,Central America,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",50.1
13,Central America,2022,"Safely managed drinking water sources, total (Proportion of population with access)",47.7
13,Central America,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",53.9
13,Central America,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",57.2
5,South America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",82.5
5,South America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",46.8
5,South America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",76.2
5,South America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",28.9
5,South America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",37.8
5,South America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",83.7
5,South America,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",51.1
5,South America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",78.4
5,South America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.5
5,South America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",41.5
5,South America,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",82.7
5,South America,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",58
5,South America,2022,"Safely managed drinking water sources, total (Proportion of population with access)",79
5,South America,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.7
5,South America,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",45.7
142,Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",75
142,Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",54.1
142,Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",63.4
142,Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.3
142,Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",25.3
142,Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",36.7
142,Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",77.1
142,Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",61
142,Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",68.7
142,Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.1
142,Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.3
142,Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",46.4
142,Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",79.6
142,Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",71.5
142,Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",75.7
142,Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.5
142,Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.8
142,Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",58.6
143,Central Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87
143,Central Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",49.3
143,Central Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",67.4
143,Central Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.1
143,Central Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",79.6
143,Central Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",76.9
143,Central Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",87.7
143,Central Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",60.6
143,Central Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",73.6
143,Central Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",73.3
143,Central Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",80.4
143,Central Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",77
143,Central Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",88
143,Central Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",68.1
143,Central Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",77.8
143,Central Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.7
143,Central Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.1
143,Central Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",77
30,Eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",91.4
30,Eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",54.6
30,Eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.6
30,Eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",41.4
30,Eastern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",94.6
30,Eastern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",66.9
30,Eastern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",26.1
30,Eastern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",54.8
30,Eastern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.6
30,Eastern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.8
30,Eastern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",38.3
30,Eastern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",70.4
35,South-eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",48.1
35,South-eastern Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",30.5
35,South-eastern Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",38.3
35,South-eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",42.7
35,South-eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",38
35,South-eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",40.1
35,South-eastern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",48.7
35,South-eastern Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",32.1
35,South-eastern Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",40
35,South-eastern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.1
35,South-eastern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.5
35,South-eastern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",43.8
35,South-eastern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",49.5
35,South-eastern Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",34.3
35,South-eastern Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",42.1
35,South-eastern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.4
35,South-eastern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",51.8
35,South-eastern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",49
34,Southern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",61.5
34,Southern Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",50.2
34,Southern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.2
34,Southern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.4
34,Southern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",26.9
34,Southern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",63.5
34,Southern Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",57.3
34,Southern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.3
34,Southern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.8
34,Southern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",36.7
34,Southern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",65.8
34,Southern Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",67.7
34,Southern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.5
34,Southern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",53
34,Southern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",49.8
145,Western Asia,2007,"Safely managed drinking water sources, urban (Proportion of population with access)",75.5
145,Western Asia,2007,"Safely managed drinking water sources, total (Proportion of population with access)",71.6
145,Western Asia,2007,"Safely managed sanitation facilities, urban (Proportion of population with access)",49.5
145,Western Asia,2007,"Safely managed sanitation facilities, rural (Proportion of population with access)",45.9
145,Western Asia,2007,"Safely managed sanitation facilities, total (Proportion of population with access)",53.9
145,Western Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.2
145,Western Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",53.3
145,Western Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",47.6
145,Western Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",57
145,Western Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",75.7
145,Western Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",74.5
145,Western Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",58
145,Western Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.5
145,Western Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",61.4
145,Western Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",76.1
145,Western Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",76.1
145,Western Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",65.3
145,Western Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",56.3
145,Western Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",68.8
150,Europe,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",95.2
150,Europe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",84.2
150,Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.2
150,Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",75.3
150,Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",44.8
150,Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",74.9
150,Europe,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",95.2
150,Europe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",86.7
150,Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",93
150,Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.8
150,Europe,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",46.4
150,Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",77.1
150,Europe,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",95.3
150,Europe,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",86.6
150,Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",93.2
150,Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",80.1
150,Europe,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.1
150,Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",79.1
151,Eastern Europe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",68.8
151,Eastern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",82.4
151,Eastern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",54.2
151,Eastern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",61.1
151,Eastern Europe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",73.8
151,Eastern Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",83.8
151,Eastern Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",58
151,Eastern Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",64.7
151,Eastern Europe,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",73.6
151,Eastern Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",83.8
151,Eastern Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.5
151,Eastern Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",66.9
154,Northern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.7
154,Northern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.9
154,Northern Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",75.9
154,Northern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.3
154,Northern Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.3
154,Northern Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.7
154,Northern Europe,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",76.8
154,Northern Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",96.1
154,Northern Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",99.5
154,Northern Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",97
154,Northern Europe,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",77
154,Northern Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",96.7
39,Southern Europe,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.8
