Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2
24,Angola,2020,Major trading partner 1 (% of exports),China,,59.7
24,Angola,2023,Major trading partner 1 (% of exports),China,,42.7
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4
24,Angola,2020,Major trading partner 1 (% of imports),China,,15.4
24,Angola,2023,Major trading partner 1 (% of imports),China,,16
24,Angola,2015,Major trading partner 2 (% of exports),India,,7.9
24,Angola,2020,Major trading partner 2 (% of exports),India,,7.3
24,Angola,2023,Major trading partner 2 (% of exports),India,,10
24,Angola,2015,Major trading partner 2 (% of imports),Portugal,,12.9
24,Angola,2020,Major trading partner 2 (% of imports),Portugal,,13.9
24,Angola,2023,Major trading partner 2 (% of imports),Portugal,,10.7
24,Angola,2015,Major trading partner 3 (% of exports),France,,4.7
24,Angola,2020,Major trading partner 3 (% of exports),France,,2
24,Angola,2023,Major trading partner 3 (% of exports),France,,7.1
24,Angola,2015,Major trading partner 3 (% of imports),Republic of Korea,,3.3
24,Angola,2020,Major trading partner 3 (% of imports),Republic of Korea,,3.1
24,Angola,2023,Major trading partner 3 (% of imports),Republic of Korea,,9.2
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,1
660,Anguilla,2020,Major trading partner 1 (% of exports),Chile,,73.7
660,Anguilla,2023,Major trading partner 1 (% of exports),Chile,,57.9
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2
660,Anguilla,2020,Major trading partner 1 (% of imports),Chile,,54.4
660,Anguilla,2023,Major trading partner 1 (% of imports),Chile,,47.9
660,Anguilla,2015,Major trading partner 2 (% of exports),Netherlands,,0.3
660,Anguilla,2023,Major trading partner 2 (% of exports),Netherlands,,7.9
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.5
660,Anguilla,2020,Major trading partner 2 (% of imports),United States,,31.5
660,Anguilla,2023,Major trading partner 2 (% of imports),United States,,29.6
660,Anguilla,2015,Major trading partner 3 (% of exports),United States,,40.8
660,Anguilla,2020,Major trading partner 3 (% of exports),United States,,4.9
660,Anguilla,2023,Major trading partner 3 (% of exports),United States,,5.5
660,Anguilla,2023,Major trading partner 3 (% of imports),Botswana,,14.2
28,Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United States,,30.1
28,Antigua and Barbuda,2020,Major trading partner 1 (% of exports),United States,,11.8
28,Antigua and Barbuda,2023,Major trading partner 1 (% of exports),United States,,25.3
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5
28,Antigua and Barbuda,2020,Major trading partner 1 (% of imports),United States,,48.8
28,Antigua and Barbuda,2023,Major trading partner 1 (% of imports),United States,,50.6
28,Antigua and Barbuda,2020,Major trading partner 2 (% of exports),Sint Maarten,,10.4
28,Antigua and Barbuda,2023,Major trading partner 2 (% of exports),Sint Maarten,,13.6
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),Japan,,3.4
28,Antigua and Barbuda,2020,Major trading partner 2 (% of imports),Japan,,3.9
28,Antigua and Barbuda,2023,Major trading partner 2 (% of imports),Japan,,5.1
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),China,,0.2
28,Antigua and Barbuda,2023,Major trading partner 3 (% of exports),China,,9.4
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Trinidad and Tobago,,3.6
28,Antigua and Barbuda,2020,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.8
28,Antigua and Barbuda,2023,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.2
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8
32,Argentina,2020,Major trading partner 1 (% of exports),Brazil,,14.5
32,Argentina,2023,Major trading partner 1 (% of exports),Brazil,,17.8
32,Argentina,2015,Major trading partner 1 (% of imports),Brazil,,21.7
32,Argentina,2020,Major trading partner 1 (% of imports),Brazil,,20.4
32,Argentina,2023,Major trading partner 1 (% of imports),Brazil,,23.5
32,Argentina,2015,Major trading partner 2 (% of exports),United States,,6.7
32,Argentina,2020,Major trading partner 2 (% of exports),United States,,6
32,Argentina,2023,Major trading partner 2 (% of exports),United States,,8.5
32,Argentina,2015,Major trading partner 2 (% of imports),China,,19.6
32,Argentina,2020,Major trading partner 2 (% of imports),China,,20.5
32,Argentina,2023,Major trading partner 2 (% of imports),China,,19.6
32,Argentina,2015,Major trading partner 3 (% of exports),China,,9.1
32,Argentina,2020,Major trading partner 3 (% of exports),China,,9.6
32,Argentina,2023,Major trading partner 3 (% of exports),China,,7.7
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6
32,Argentina,2020,Major trading partner 3 (% of imports),United States,,10.9
32,Argentina,2023,Major trading partner 3 (% of imports),United States,,11.7
51,Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,,15.2
51,Armenia,2020,Major trading partner 1 (% of exports),Russian Federation,,26.2
51,Armenia,2023,Major trading partner 1 (% of exports),Russian Federation,,40.4
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4
51,Armenia,2020,Major trading partner 1 (% of imports),Russian Federation,,33.3
51,Armenia,2023,Major trading partner 1 (% of imports),Russian Federation,,32.3
51,Armenia,2015,Major trading partner 2 (% of exports),United Arab Emirates,,0.7
51,Armenia,2020,Major trading partner 2 (% of exports),United Arab Emirates,,3.5
51,Armenia,2023,Major trading partner 2 (% of exports),United Arab Emirates,,26.6
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7
51,Armenia,2020,Major trading partner 2 (% of imports),China,,14.5
51,Armenia,2023,Major trading partner 2 (% of imports),China,,13.5
51,Armenia,2015,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.4
51,Armenia,2020,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.2
51,Armenia,2023,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,8
51,Armenia,2015,Major trading partner 3 (% of imports),Viet Nam,,0.5
51,Armenia,2020,Major trading partner 3 (% of imports),Viet Nam,,0.7
51,Armenia,2023,Major trading partner 3 (% of imports),Viet Nam,,6.8
533,Aruba,2015,Major trading partner 1 (% of exports),Colombia,,27.4
533,Aruba,2020,Major trading partner 1 (% of exports),Colombia,,14.5
533,Aruba,2023,Major trading partner 1 (% of exports),Colombia,,46
533,Aruba,2015,Major trading partner 1 (% of imports),United States,,54.4
533,Aruba,2020,Major trading partner 1 (% of imports),United States,,52.5
533,Aruba,2023,Major trading partner 1 (% of imports),United States,,50.4
533,Aruba,2015,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,14.1
533,Aruba,2020,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,4.8
533,Aruba,2023,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,30.3
533,Aruba,2015,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,13.9
533,Aruba,2020,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,12.4
533,Aruba,2023,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,22
533,Aruba,2015,Major trading partner 3 (% of exports),United States,,6.9
533,Aruba,2020,Major trading partner 3 (% of exports),United States,,29.5
533,Aruba,2023,Major trading partner 3 (% of exports),United States,,15.9
533,Aruba,2015,Major trading partner 3 (% of imports),Netherlands,,10.4
533,Aruba,2020,Major trading partner 3 (% of imports),Netherlands,,16.1
533,Aruba,2023,Major trading partner 3 (% of imports),Netherlands,,12.7
36,Australia,2015,Major trading partner 1 (% of exports),China,,31.9
36,Australia,2020,Major trading partner 1 (% of exports),China,,40.2
36,Australia,2023,Major trading partner 1 (% of exports),China,,32.6
36,Australia,2015,Major trading partner 1 (% of imports),China,,23
36,Australia,2020,Major trading partner 1 (% of imports),China,,28.8
36,Australia,2023,Major trading partner 1 (% of imports),China,,24.9
36,Australia,2015,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,1
36,Australia,2020,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,2.1
36,Australia,2023,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,17.3
36,Australia,2015,Major trading partner 2 (% of imports),United States,,12.8
36,Australia,2020,Major trading partner 2 (% of imports),United States,,12.3
36,Australia,2023,Major trading partner 2 (% of imports),United States,,11.3
36,Australia,2015,Major trading partner 3 (% of exports),Japan,,15.9
36,Australia,2020,Major trading partner 3 (% of exports),Japan,,12.3
36,Australia,2023,Major trading partner 3 (% of exports),Japan,,9.8
36,Australia,2015,Major trading partner 3 (% of imports),Japan,,7.5
36,Australia,2020,Major trading partner 3 (% of imports),Japan,,6.1
36,Australia,2023,Major trading partner 3 (% of imports),Japan,,6.3
40,Austria,2015,Major trading partner 1 (% of exports),Germany,,29.5
40,Austria,2020,Major trading partner 1 (% of exports),Germany,,30.4
40,Austria,2023,Major trading partner 1 (% of exports),Germany,,29.7
40,Austria,2015,Major trading partner 1 (% of imports),Germany,,36.4
40,Austria,2020,Major trading partner 1 (% of imports),Germany,,34.7
40,Austria,2023,Major trading partner 1 (% of imports),Germany,,31.7
40,Austria,2015,Major trading partner 2 (% of exports),Italy,,6.2
40,Austria,2020,Major trading partner 2 (% of exports),Italy,,6.2
40,Austria,2023,Major trading partner 2 (% of exports),Italy,,6.8
40,Austria,2015,Major trading partner 2 (% of imports),China,,5.9
40,Austria,2020,Major trading partner 2 (% of imports),China,,7.1
40,Austria,2023,Major trading partner 2 (% of imports),China,,8.1
40,Austria,2015,Major trading partner 3 (% of exports),United States,,6.7
40,Austria,2020,Major trading partner 3 (% of exports),United States,,6.5
40,Austria,2023,Major trading partner 3 (% of exports),United States,,6.5
40,Austria,2015,Major trading partner 3 (% of imports),Italy,,6
40,Austria,2020,Major trading partner 3 (% of imports),Italy,,6.3
40,Austria,2023,Major trading partner 3 (% of imports),Italy,,6.1
31,Azerbaijan,2015,Major trading partner 1 (% of exports),Italy,,17.8
31,Azerbaijan,2020,Major trading partner 1 (% of exports),Italy,,30.4
31,Azerbaijan,2023,Major trading partner 1 (% of exports),Italy,,44.9
31,Azerbaijan,2015,Major trading partner 1 (% of imports),Russian Federation,,15.6
31,Azerbaijan,2020,Major trading partner 1 (% of imports),Russian Federation,,18.3
31,Azerbaijan,2023,Major trading partner 1 (% of imports),Russian Federation,,18.3
31,Azerbaijan,2015,Major trading partner 2 (% of exports),Türkiye,,11.7
31,Azerbaijan,2020,Major trading partner 2 (% of exports),Türkiye,,18.9
31,Azerbaijan,2023,Major trading partner 2 (% of exports),Türkiye,,15.8
31,Azerbaijan,2015,Major trading partner 2 (% of imports),China,,5.6
31,Azerbaijan,2020,Major trading partner 2 (% of imports),China,,13.2
31,Azerbaijan,2023,Major trading partner 2 (% of imports),China,,17.5
31,Azerbaijan,2015,Major trading partner 3 (% of exports),Israel,,6.3
31,Azerbaijan,2020,Major trading partner 3 (% of exports),Israel,,3.2
31,Azerbaijan,2023,Major trading partner 3 (% of exports),Israel,,4.1
31,Azerbaijan,2015,Major trading partner 3 (% of imports),Türkiye,,12.6
31,Azerbaijan,2020,Major trading partner 3 (% of imports),Türkiye,,14.6
31,Azerbaijan,2023,Major trading partner 3 (% of imports),Türkiye,,13.3
44,Bahamas,2015,Major trading partner 1 (% of exports),United States,,83.1
44,Bahamas,2020,Major trading partner 1 (% of exports),United States,,81.4
44,Bahamas,2023,Major trading partner 1 (% of exports),United States,,63.6
44,Bahamas,2015,Major trading partner 1 (% of imports),United States,,81.9
44,Bahamas,2020,Major trading partner 1 (% of imports),United States,,79.8
44,Bahamas,2023,Major trading partner 1 (% of imports),United States,,85
44,Bahamas,2015,Major trading partner 2 (% of exports),Areas nes,,0.6
44,Bahamas,2020,Major trading partner 2 (% of exports),Areas nes,,5.2
44,Bahamas,2023,Major trading partner 2 (% of exports),Areas nes,,31.7
44,Bahamas,2015,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,3
44,Bahamas,2020,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,2.8
44,Bahamas,2023,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,2
44,Bahamas,2015,Major trading partner 3 (% of exports),France,,4.4
44,Bahamas,2020,Major trading partner 3 (% of exports),France,,6.2
44,Bahamas,2023,Major trading partner 3 (% of exports),France,,3.1
44,Bahamas,2015,Major trading partner 3 (% of imports),China,,0.8
44,Bahamas,2020,Major trading partner 3 (% of imports),China,,1.5
44,Bahamas,2023,Major trading partner 3 (% of imports),China,,1.9
48,Bahrain,2015,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,0
48,Bahrain,2020,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,0
48,Bahrain,2023,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,32
48,Bahrain,2015,Major trading partner 1 (% of imports),China,,9.6
48,Bahrain,2020,Major trading partner 1 (% of imports),China,,11.3
48,Bahrain,2023,Major trading partner 1 (% of imports),China,,14.5
48,Bahrain,2015,Major trading partner 2 (% of exports),Saudi Arabia,,66.9
48,Bahrain,2020,Major trading partner 2 (% of exports),Saudi Arabia,,17.4
48,Bahrain,2023,Major trading partner 2 (% of exports),Saudi Arabia,,13.7
48,Bahrain,2015,Major trading partner 2 (% of imports),Brazil,,2.5
48,Bahrain,2020,Major trading partner 2 (% of imports),Brazil,,5.1
48,Bahrain,2023,Major trading partner 2 (% of imports),Brazil,,10.6
48,Bahrain,2015,Major trading partner 3 (% of exports),United States,,4.8
48,Bahrain,2020,Major trading partner 3 (% of exports),United States,,6.6
48,Bahrain,2023,Major trading partner 3 (% of exports),United States,,8.6
48,Bahrain,2015,Major trading partner 3 (% of imports),Australia,,4.8
48,Bahrain,2020,Major trading partner 3 (% of imports),Australia,,5.7
48,Bahrain,2023,Major trading partner 3 (% of imports),Australia,,8.7
50,Bangladesh,2015,Major trading partner 1 (% of exports),United States,,19.3
50,Bangladesh,2020,Major trading partner 1 (% of exports),United States,,15.2
50,Bangladesh,2023,Major trading partner 1 (% of exports),United States,,15.3
50,Bangladesh,2015,Major trading partner 1 (% of imports),China,,21.5
50,Bangladesh,2020,Major trading partner 1 (% of imports),China,,29.8
50,Bangladesh,2023,Major trading partner 1 (% of imports),China,,31.1
50,Bangladesh,2015,Major trading partner 2 (% of exports),Germany,,14.7
50,Bangladesh,2020,Major trading partner 2 (% of exports),Germany,,15.9
50,Bangladesh,2023,Major trading partner 2 (% of exports),Germany,,14.9
50,Bangladesh,2015,Major trading partner 2 (% of imports),India,,12.2
50,Bangladesh,2020,Major trading partner 2 (% of imports),India,,15.6
50,Bangladesh,2023,Major trading partner 2 (% of imports),India,,17.5
50,Bangladesh,2015,Major trading partner 3 (% of exports),United Kingdom,,11
50,Bangladesh,2020,Major trading partner 3 (% of exports),United Kingdom,,7.3
50,Bangladesh,2023,Major trading partner 3 (% of exports),United Kingdom,,7.5
50,Bangladesh,2015,Major trading partner 3 (% of imports),Singapore,,9.2
50,Bangladesh,2020,Major trading partner 3 (% of imports),Singapore,,4.7
50,Bangladesh,2023,Major trading partner 3 (% of imports),Singapore,,6
52,Barbados,2015,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,15.7
52,Barbados,2020,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,23.5
52,Barbados,2023,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,31.6
52,Barbados,2015,Major trading partner 1 (% of imports),United States,,39.2
52,Barbados,2020,Major trading partner 1 (% of imports),United States,,42.6
52,Barbados,2023,Major trading partner 1 (% of imports),United States,,38
52,Barbados,2015,Major trading partner 2 (% of exports),United States,,32.6
52,Barbados,2020,Major trading partner 2 (% of exports),United States,,13.3
52,Barbados,2023,Major trading partner 2 (% of exports),United States,,18.5
52,Barbados,2015,Major trading partner 2 (% of imports),Trinidad and Tobago,,15.8
52,Barbados,2020,Major trading partner 2 (% of imports),Trinidad and Tobago,,13.8
52,Barbados,2023,Major trading partner 2 (% of imports),Trinidad and Tobago,,21.5
52,Barbados,2015,Major trading partner 3 (% of exports),Jamaica,,4.6
52,Barbados,2020,Major trading partner 3 (% of exports),Jamaica,,8.2
52,Barbados,2023,Major trading partner 3 (% of exports),Jamaica,,7.2
52,Barbados,2015,Major trading partner 3 (% of imports),Netherlands,,1.5
52,Barbados,2020,Major trading partner 3 (% of imports),Netherlands,,5.5
52,Barbados,2023,Major trading partner 3 (% of imports),Netherlands,,6.5
112,Belarus,2015,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,3.4
112,Belarus,2020,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,5.8
112,Belarus,2023,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,40.3
112,Belarus,2015,Major trading partner 1 (% of imports),Areas nes,Areas not elsewhere specified.,1.8
112,Belarus,2020,Major trading partner 1 (% of imports),Areas nes,Areas not elsewhere specified.,1.1
112,Belarus,2023,Major trading partner 1 (% of imports),Areas nes,Areas not elsewhere specified.,37
112,Belarus,2015,Major trading partner 2 (% of exports),Russian Federation,,38.6
112,Belarus,2020,Major trading partner 2 (% of exports),Russian Federation,,44.6
112,Belarus,2023,Major trading partner 2 (% of exports),Russian Federation,,35
112,Belarus,2015,Major trading partner 2 (% of imports),Russian Federation,,55.8
112,Belarus,2020,Major trading partner 2 (% of imports),Russian Federation,,52.1
112,Belarus,2023,Major trading partner 2 (% of imports),Russian Federation,,28.6
112,Belarus,2015,Major trading partner 3 (% of exports),Poland,,2.8
112,Belarus,2020,Major trading partner 3 (% of exports),Poland,,4.3
112,Belarus,2023,Major trading partner 3 (% of exports),Poland,,4
112,Belarus,2015,Major trading partner 3 (% of imports),China,,7.7
112,Belarus,2020,Major trading partner 3 (% of imports),China,,10.7
112,Belarus,2023,Major trading partner 3 (% of imports),China,,8.1
56,Belgium,2015,Major trading partner 1 (% of exports),Germany,,15.2
56,Belgium,2020,Major trading partner 1 (% of exports),Germany,,16.6
56,Belgium,2023,Major trading partner 1 (% of exports),Germany,,16.3
56,Belgium,2015,Major trading partner 1 (% of imports),Netherlands,,21.4
56,Belgium,2020,Major trading partner 1 (% of imports),Netherlands,,19.2
56,Belgium,2023,Major trading partner 1 (% of imports),Netherlands,,21.2
56,Belgium,2015,Major trading partner 2 (% of exports),Netherlands,,12.1
56,Belgium,2020,Major trading partner 2 (% of exports),Netherlands,,11.6
56,Belgium,2023,Major trading partner 2 (% of exports),Netherlands,,13.5
56,Belgium,2015,Major trading partner 2 (% of imports),Germany,,15.1
56,Belgium,2020,Major trading partner 2 (% of imports),Germany,,14.6
56,Belgium,2023,Major trading partner 2 (% of imports),Germany,,12.5
56,Belgium,2015,Major trading partner 3 (% of exports),France,,15.6
56,Belgium,2020,Major trading partner 3 (% of exports),France,,13.4
56,Belgium,2023,Major trading partner 3 (% of exports),France,,12.7
56,Belgium,2015,Major trading partner 3 (% of imports),France,,11.2
56,Belgium,2020,Major trading partner 3 (% of imports),France,,11.2
56,Belgium,2023,Major trading partner 3 (% of imports),France,,11.6
84,Belize,2015,Major trading partner 1 (% of exports),United States,,38.9
84,Belize,2020,Major trading partner 1 (% of exports),United States,,23.5
84,Belize,2023,Major trading partner 1 (% of exports),United States,,28
84,Belize,2015,Major trading partner 1 (% of imports),United States,,34.4
84,Belize,2020,Major trading partner 1 (% of imports),United States,,40.5
84,Belize,2023,Major trading partner 1 (% of imports),United States,,42
84,Belize,2015,Major trading partner 2 (% of exports),United Kingdom,,26.1
84,Belize,2020,Major trading partner 2 (% of exports),United Kingdom,,29.6
84,Belize,2023,Major trading partner 2 (% of exports),United Kingdom,,17.3
84,Belize,2015,Major trading partner 2 (% of imports),China,,10.1
84,Belize,2020,Major trading partner 2 (% of imports),China,,14.4
84,Belize,2023,Major trading partner 2 (% of imports),China,,17.2
84,Belize,2015,Major trading partner 3 (% of exports),Guatemala,,1.6
84,Belize,2020,Major trading partner 3 (% of exports),Guatemala,,4
84,Belize,2023,Major trading partner 3 (% of exports),Guatemala,,8.7
84,Belize,2015,Major trading partner 3 (% of imports),Mexico,,10.8
84,Belize,2020,Major trading partner 3 (% of imports),Mexico,,13
84,Belize,2023,Major trading partner 3 (% of imports),Mexico,,9.5
204,Benin,2015,Major trading partner 1 (% of exports),Bangladesh,,7.4
204,Benin,2020,Major trading partner 1 (% of exports),Bangladesh,,38.5
204,Benin,2023,Major trading partner 1 (% of exports),Bangladesh,,37.2
204,Benin,2015,Major trading partner 1 (% of imports),India,,9.6
204,Benin,2020,Major trading partner 1 (% of imports),India,,11.5
204,Benin,2023,Major trading partner 1 (% of imports),India,,17.1
204,Benin,2015,Major trading partner 2 (% of exports),India,,13.1
204,Benin,2020,Major trading partner 2 (% of exports),India,,11.9
204,Benin,2023,Major trading partner 2 (% of exports),India,,15.4
204,Benin,2015,Major trading partner 2 (% of imports),China,,10.9
204,Benin,2020,Major trading partner 2 (% of imports),China,,11.5
204,Benin,2023,Major trading partner 2 (% of imports),China,,12.8
204,Benin,2015,Major trading partner 3 (% of exports),Pakistan,,2.8
204,Benin,2020,Major trading partner 3 (% of exports),Pakistan,,1.1
204,Benin,2023,Major trading partner 3 (% of exports),Pakistan,,7.2
204,Benin,2015,Major trading partner 3 (% of imports),France,,11.6
204,Benin,2020,Major trading partner 3 (% of imports),France,,10.5
204,Benin,2023,Major trading partner 3 (% of imports),France,,8.6
60,Bermuda,2015,Major trading partner 1 (% of exports),United States,,80.8
60,Bermuda,2020,Major trading partner 1 (% of exports),United States,,94.2
60,Bermuda,2023,Major trading partner 1 (% of exports),United States,,84.6
60,Bermuda,2015,Major trading partner 1 (% of imports),United States,,65.7
60,Bermuda,2020,Major trading partner 1 (% of imports),United States,,69.9
60,Bermuda,2023,Major trading partner 1 (% of imports),United States,,71.5
60,Bermuda,2015,Major trading partner 2 (% of exports),United Kingdom,,12.1
60,Bermuda,2020,Major trading partner 2 (% of exports),United Kingdom,,1.5
60,Bermuda,2023,Major trading partner 2 (% of exports),United Kingdom,,9.6
60,Bermuda,2015,Major trading partner 2 (% of imports),Canada,,14.7
60,Bermuda,2020,Major trading partner 2 (% of imports),Canada,,7.9
60,Bermuda,2023,Major trading partner 2 (% of imports),Canada,,8.5
60,Bermuda,2015,Major trading partner 3 (% of exports),Canada,,2
60,Bermuda,2020,Major trading partner 3 (% of exports),Canada,,0.6
60,Bermuda,2023,Major trading partner 3 (% of exports),Canada,,2.9
60,Bermuda,2015,Major trading partner 3 (% of imports),United Kingdom,,3.9
60,Bermuda,2020,Major trading partner 3 (% of imports),United Kingdom,,5
60,Bermuda,2023,Major trading partner 3 (% of imports),United Kingdom,,5.4
64,Bhutan,2015,Major trading partner 1 (% of exports),India,,72.3
